episode,reward
1,-3090.35732484
2,-3551.80876387
3,-5915.19624
4,-5725.07125907
5,-5422.49106226
6,-2201.2429163
7,-3688.83121228
8,-4488.22033979
9,-4190.13225021
10,-3962.71781632
11,-3361.31377179
12,-3828.28794913
13,-2579.20842076
14,-4991.97779307
15,-3308.48136742
16,-3658.29353462
17,-3896.63475636
18,-2453.51394743
19,-5683.6674745
20,-6058.75611673
21,-7133.20107577
22,-5594.37257642
23,-3151.38123751
24,-5408.65716823
25,-2659.84765431
26,-3494.49667609
27,-2957.51666993
28,-4546.38714031
29,-3492.74445072
30,-3466.29860509
31,-3228.74259438
32,-2836.44878569
33,-4033.83607482
34,-2559.93017619
35,-4726.4064289
36,-5394.51400385
37,-5190.57996672
38,-1979.55951743
39,-2905.03272945
40,-4472.13330333
41,-3325.23878371
42,-2301.94809995
43,-4053.40979595
44,-4048.3114497
45,-3407.93675623
46,-3327.90038262
47,-2634.79041408
48,-4494.9211259
49,-4962.48503315
50,-4887.69783239
51,-4721.75300151
52,-4623.55414732
53,-2198.83423609
54,-5248.2155284
55,-5405.105306
56,-3520.58566343
57,-2381.37330669
58,-3294.63169417
59,-5177.16315227
60,-3783.58955552
61,-2809.29787595
62,-2571.50602884
63,-3641.91030483
64,-3435.3106028
65,-3392.01645645
66,-6045.03793965
67,-4406.12462093
68,-2062.19247554
69,-4366.83646694
70,-2304.13308491
71,-3877.08659426
72,-4776.99153101
73,-4174.09781716
74,-4425.14246339
75,-4402.28533101
76,-3333.55346132
77,-3932.15427045
78,-2524.47231077
79,-4476.10791509
80,-3641.27131157
81,-5361.4515024
82,-3492.87207028
83,-4978.87291871
84,-5344.35443922
85,-4154.88969186
86,-3424.77955551
87,-3166.31774154
88,-3261.06015891
89,-5065.66417387
90,-5284.60866922
91,-4935.37033305
92,-3157.37136693
93,-4874.73234567
94,-4944.81879659
95,-4817.959143
96,-5001.81808595
97,-3279.38772615
98,-2998.40579858
99,-2694.22335947
100,-5696.88355151
