episode,reward
1,4.0
2,-1.0
3,7.0
4,1.0
5,-3.0
6,-1.0
7,-3.0
8,-1.0
9,13.0
10,-1.0
11,-1.0
12,-3.0
13,-1.0
14,-1.0
15,-3.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,-1.0
36,-4.0
37,-4.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,1.99999999559
73,2.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,2.0
90,0.0
91,0.0
92,0.3466419794
93,2.0
94,2.0
95,2.0
96,2.0
97,7.0
98,7.0
99,7.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,-3.0
108,6.0
109,3.0
110,5.0
111,-6.0
112,-3.0
113,-3.0
114,-3.0
115,-3.0
116,-6.0
117,-9.0
118,-2.0
119,1.0
120,-5.0
121,-2.0
122,-2.0
123,-2.0
124,-12.0
125,-12.0
126,-9.0
127,-9.0
128,-9.0
129,-9.0
130,-2.0
131,-2.0
132,-2.0
133,-2.0
134,-2.0
135,-2.0
136,-2.0
137,-2.0
138,-2.0
139,-2.0
140,-2.0
141,-2.0
142,-2.0
143,-2.0
144,-2.0
145,-18.0
146,-16.0
147,-16.0
148,0.0
149,0.0
150,4.0
151,13.0
152,6.0
153,3.0
154,6.0
155,6.0
156,4.0
157,4.0
158,2.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,2.0
168,2.0
169,2.0
170,2.0
171,2.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,2.0
179,2.0
180,2.0
181,-1.0
182,5.0
183,5.0
184,5.0
185,-1.0
186,-1.0
187,-1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,-5.99999999984
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,3.0
232,3.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,2.0
239,3.0
240,0.0
241,1.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,3.0
254,1.0
255,-1.0
256,-1.0
257,-1.0
258,2.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,-2.0
265,-2.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,-2.0
281,-2.0
282,1.0
283,1.0
284,1.0
285,1.0
286,0.0
287,-2.0
288,-2.0
